old,new,Description,Group,Colour
NG00ILGX,LNGIMP00X,Natural gas imports (LNG),Extraction/Import,pearl05
NG00P00X,NGADIP00X,Natural gas process (non-power sector),Conversion,peru
NG00X00X,NGAPRP00X,Natural gas extraction,Extraction/Import,pinksalmon
NGCCC01N,NGACCC01N,Natural gas power plant (combined cycle) - CCS - Air cooling (new),Power_plants,polar
NGCCC02N,NGACCC02N,Natural gas power plant (combined cycle) - CCS  - MDT cooling (new),Power_plants,polarbluelight
NGCCC03N,NGACCC03N,Natural gas power plant (combined cycle) - CCS - NDT cooling (new),Power_plants,polardark
NGCCC04N,NGACCC04N,Natural gas power plant (combined cycle) - CCS  - OTF/OTS cooling (new),Power_plants,polardust
NGCCP01N,NGACCP01N,Natural gas power plant (combined cycle) - Air cooling (new),Power_plants,rosybrown
NGCCP01O,NGACCP01O,Natural gas power plant (combined cycle) - Air cooling (old),Power_plants,polargreen
NGCCP02N,NGACCP02N,Natural gas power plant (combined cycle) - MDT cooling (new),Power_plants,saddlebrown
NGCCP02O,NGACCP02O,Natural gas power plant (combined cycle) - MDT cooling (old),Power_plants,polarpurple
NGCCP03N,NGACCP03N,Natural gas power plant (combined cycle) - NDT cooling (new),Power_plants,sandybrown
NGCCP03O,NGACCP03O,Natural gas power plant (combined cycle) - NDT cooling (old),Power_plants,powderblue
NGCCP04N,NGACCP04N,Natural gas power plant (combined cycle) - OTF/OTS cooling (new),Power_plants,seagreen
NGCCP04O,NGACCP04O,Natural gas power plant (combined cycle) - OTF/OTS cooling (old),Power_plants,red
NGGCP01N,NGAGCP01N,Natural gas power plant (single cycle) - Air cooling (new),Power_plants,springgreen
NGGCP01O,NGAGCP01O,Natural gas power plant (single cycle) - Air cooling (old),Power_plants,sienna
NGGCP02N,NGAGCP02N,Natural gas power plant (single cycle) - MDT cooling (new),Power_plants,tan
NGGCP02O,NGAGCP02O,Natural gas power plant (single cycle) - MDT cooling (old),Power_plants,skyblue
NGGCP03N,NGAGCP03N,Natural gas power plant (single cycle) - NDT cooling (new),Power_plants,thistle
NGGCP03O,NGAGCP03O,Natural gas power plant (single cycle) - NDT cooling (old),Power_plants,slategray
NGGCP04N,NGAGCP04N,Natural gas power plant (single cycle) - OTF/OTS cooling (new),Power_plants,turquoise
NGGCP04O,NGAGCP04O,Natural gas power plant (single cycle) - OTF/OTS cooling (old),Power_plants,smurf
NPCHA00X,CHAPRP00X,Charcoal production,Extraction/Import,wheat
NULWP04N,URNPWP04N,Nuclear power plant - OTS/OTF cooling (new),Power_plants,yellowgreen
NULWP04O,URNPWP04O,Nuclear power plant - OTS/OTF cooling (old),Power_plants,whitesmoke
SOC1P00X,SOLCNP01X,CSP (without storage),Power_plants,grey
SOC2P00X,SOLCSP01X,CSP (with storage),Power_plants,lavender
SOLAR00X,SOLPRP00X,Solar potential,Extraction/Import,lightgrey
SOU1P03X,SOLPUP00X,Solar PV (utility),Power_plants,mediumorchid
SOV1F01X,SOLPVP00X,Solar PV (roof top),Power_plants,navajowhite
SOV2F01X,SOLPSP00X,Solar PV with storage,Power_plants,pearl04
UR00I00X,URNIMP00X,Uranium imports,Extraction/Import,polarorange
UR00X00X,URNPRP00X,Uranium extraction,Extraction/Import,silver
WA00000X,WA2PRP00X,Water production technology,Extraction/Import,tomato
WIND000X,WINPRP00X,Wind potential,Extraction/Import,yellow
WINDP00X,WINONP00X,Wind (onshore),Power_plants,beige
WINDP01X,WINOFP00X,Wind (offshore),Power_plants,burlywood
